"id","ja","en","de","fr","ko","zh-cn"
"1","はたく","pound","ge","écras'face*","막치기","拍擊"
"2","からてチョップ","karate-chop","karateschlag","poing-karaté*","태권당수","空手劈"
"3","おうふくビンタ","double-slap","duplexhieb","torgnoles","연속뺨치기","連環巴掌"
"4","れんぞくパンチ","comet-punch","kometenhieb","poing-comète","연속펀치","連續拳"
"5","メガトンパンチ","mega-punch","megahieb","ultimapoing","메가톤펀치","百萬噸重拳"
"6","ネコにこばん","pay-day","zahltag","jackpot","고양이돈받기","聚寶功"
"7","ほのおのパンチ","fire-punch","feuerschlag","poing-feu*","불꽃펀치","火焰拳"
"8","れいとうパンチ","ice-punch","eishieb","poing-glace**","냉동펀치","冰凍拳"
"9","かみなりパンチ","thunder-punch","donnerschlag","poing-éclair**","번개펀치","雷電拳"
"10","ひっかく","scratch","kratzer","griffe","할퀴기","抓"
"11","はさむ","vise-grip","klammer","force-poigne","찝기","夾住"
"12","ハサミギロチン","guillotine","guillotine","guillotine","가위자르기","斷頭鉗"
"13","かまいたち","razor-wind","klingensturm","coupe-vent","칼바람","旋風刀"
"14","つるぎのまい","swords-dance","schwerttanz","danse-lames*","칼춤","劍舞"
"15","いあいぎり","cut","zerschneider","coupe","풀베기","居合斬"
"16","かぜおこし","gust","windstoß","tornade","바람일으키기","起風"
"17","つばさでうつ","wing-attack","flügelschlag","cru-ailes*","날개치기","翅膀攻擊"
"18","ふきとばし","whirlwind","wirbelwind","cyclone","날려버리기","吹飛"
"19","そらをとぶ","fly","fliegen","vol","공중날기","飛翔"
"20","しめつける","bind","klammergriff","étreinte*","조이기","綁緊"
"21","たたきつける","slam","slam","souplesse","힘껏치기","摔打"
"22","つるのムチ","vine-whip","rankenhieb","fouet-lianes","덩굴채찍","藤鞭"
"23","ふみつけ","stomp","stampfer","écrasement*","짓밟기","踩踏"
"24","にどげり","double-kick","doppelkick","double-pied","두번치기","二連踢"
"25","メガトンキック","mega-kick","megakick","ultimawashi","메가톤킥","百萬噸重踢"
"26","とびげり","jump-kick","sprungkick","pied-sauté","점프킥","飛踢"
"27","まわしげり","rolling-kick","fegekick","mawashi-geri","돌려차기","迴旋踢"
"28","すなかけ","sand-attack","sandwirbel","jet-de-sable","모래뿌리기","潑沙"
"29","ずつき","headbutt","kopfnuss","coup-d'boule","박치기","頭錘"
"30","つのでつく","horn-attack","hornattacke","koud'korne","뿔찌르기","角撞"
"31","みだれづき","fury-attack","furienschlag","furie","마구찌르기","亂擊"
"32","つのドリル","horn-drill","hornbohrer","empal'korne","뿔드릴","角鑽"
"33","たいあたり","tackle","tackle","charge","몸통박치기","撞擊"
"34","のしかかり","body-slam","bodyslam","plaquage","누르기","泰山壓頂"
"35","まきつく","wrap","wickel","ligotage","김밥말이","緊束"
"36","とっしん","take-down","bodycheck","bélier","돌진","猛撞"
"37","あばれる","thrash","fuchtler","mania","난동부리기","大鬧一番"
"38","すてみタックル","double-edge","risikotackle","damoclès","이판사판태클","捨身衝撞"
"39","しっぽをふる","tail-whip","rutenschlag","mimi-queue","꼬리흔들기","搖尾巴"
"40","どくばり","poison-sting","giftstachel","dard-venin","독침","毒針"
"41","ダブルニードル","twineedle","duonadel","double-dard*","더블니들","雙針"
"42","ミサイルばり","pin-missile","nadelrakete","dard-nuée","바늘미사일","飛彈針"
"43","にらみつける","leer","silberblick","groz'yeux","째려보기","瞪眼"
"44","かみつく","bite","biss","morsure","물기","咬住"
"45","なきごえ","growl","heuler","rugissement","울음소리","叫聲"
"46","ほえる","roar","brüller","hurlement","울부짖기","吼叫"
"47","うたう","sing","gesang","berceuse","노래하기","唱歌"
"48","ちょうおんぱ","supersonic","superschall","ultrason","초음파","超音波"
"49","ソニックブーム","sonic-boom","ultraschall","sonic-boom*","소닉붐","音爆"
"50","かなしばり","disable","aussetzer","entrave","사슬묶기","定身法"
"51","ようかいえき","acid","säure","acide","용해액","溶解液"
"52","ひのこ","ember","glut","flammèche","불꽃세례","火花"
"53","かえんほうしゃ","flamethrower","flammenwurf","lance-flammes*","화염방사","噴射火焰"
"54","しろいきり","mist","weißnebel","brume","흰안개","白霧"
"55","みずでっぽう","water-gun","aquaknarre","pistolet-à-o","물대포","水槍"
"56","ハイドロポンプ","hydro-pump","hydropumpe","hydrocanon","하이드로펌프","水炮"
"57","なみのり","surf","surfer","surf","파도타기","衝浪"
"58","れいとうビーム","ice-beam","eisstrahl","laser-glace","냉동빔","冰凍光束"
"59","ふぶき","blizzard","blizzard","blizzard","눈보라","暴風雪"
"60","サイケこうせん","psybeam","psystrahl","rafale-psy","환상빔","幻象光線"
"61","バブルこうせん","bubble-beam","blubbstrahl","bulles-d'o","거품광선","泡沫光線"
"62","オーロラビーム","aurora-beam","aurorastrahl","onde-boréale","오로라빔","極光束"
"63","はかいこうせん","hyper-beam","hyperstrahl","ultralaser","파괴광선","破壞光線"
"64","つつく","peck","pikser*","picpic","쪼기","啄"
"65","ドリルくちばし","drill-peck","bohrschnabel","bec-vrille","회전부리","啄鑽"
"66","じごくぐるま","submission","überroller","sacrifice","지옥의바퀴","地獄翻滾"
"67","けたぐり","low-kick","fußkick","balayage","안다리걸기","踢倒"
"68","カウンター","counter","konter","riposte","카운터","雙倍奉還"
"69","ちきゅうなげ","seismic-toss","geowurf","frappe-atlas","지구던지기","地球上投"
"70","かいりき","strength","stärke","force","괴력","怪力"
"71","すいとる","absorb","absorber","vole-vie*","흡수","吸取"
"72","メガドレイン","mega-drain","megasauger","méga-sangsue","메가드레인","超級吸取"
"73","やどりぎのタネ","leech-seed","egelsamen","vampigraine","씨뿌리기","寄生種子"
"74","せいちょう","growth","wachstum","croissance","성장","生長"
"75","はっぱカッター","razor-leaf","rasierblatt","tranch'herbe","잎날가르기","飛葉快刀"
"76","ソーラービーム","solar-beam","solarstrahl","lance-soleil","솔라빔","日光束"
"77","どくのこな","poison-powder","giftpuder","poudre-toxik","독가루","毒粉"
"78","しびれごな","stun-spore","stachelspore","para-spore","저리가루","麻痺粉"
"79","ねむりごな","sleep-powder","schlafpuder","poudre-dodo","수면가루","催眠粉"
"80","はなびらのまい","petal-dance","blättertanz","danse-fleurs*","꽃잎댄스","花瓣舞"
"81","いとをはく","string-shot","fadenschuss","sécrétion","실뿜기","吐絲"
"82","りゅうのいかり","dragon-rage","drachenwut","draco-rage","용의분노","龍之怒"
"83","ほのおのうず","fire-spin","feuerwirbel","danse-flammes**","회오리불꽃","火焰旋渦"
"84","でんきショック","thunder-shock","donnerschock","éclair*","전기쇼크","電擊"
"85","１０まんボルト","thunderbolt","donnerblitz","tonnerre","１０만볼트","十萬伏特"
"86","でんじは","thunder-wave","donnerwelle","cage-éclair**","전기자석파","電磁波"
"87","かみなり","thunder","donner","fatal-foudre","번개","打雷"
"88","いわおとし","rock-throw","steinwurf","jet-pierres","돌떨구기","落石"
"89","じしん","earthquake","erdbeben","séisme","지진","地震"
"90","じわれ","fissure","geofissur","abîme","땅가르기","地裂"
"91","あなをほる","dig","schaufler","tunnel","구멍파기","挖洞"
"92","どくどく","toxic","toxin","toxik","맹독","劇毒"
"93","ねんりき","confusion","konfusion","choc-mental","염동력","念力"
"94","サイコキネシス","psychic","psychokinese","psyko","사이코키네시스","精神強念"
"95","さいみんじゅつ","hypnosis","hypnose","hypnose","최면술","催眠術"
"96","ヨガのポーズ","meditate","meditation","yoga","요가포즈","瑜伽姿勢"
"97","こうそくいどう","agility","agilität","hâte","고속이동","高速移動"
"98","でんこうせっか","quick-attack","ruckzuckhieb","vive-attaque","전광석화","電光一閃"
"99","いかり","rage","raserei","frénésie","분노","憤怒"
